Time ,Yaw,Pitch,Roll,X Accel,Y Accel,Z Accel,X Rate,Y Rate,Z Rate,X Rot Accel,Y Rot Accel,Z Rot Accel,Magnetic X,Magnetic Y,Magnetic Z,Gravity X,Gravity Y,Gravity Z
0,-46.1319999694824,-1.4210000038147,-2.39800000190735,-0.254999995231628,0.405000001192093,-9.4379997253418,0.000811000005342,0.000157999995281,0.000427999999374,0,0,0,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
1,-46.1290016174316,-1.41999995708466,-2.3989999294281,-0.24099999666214,0.395999997854233,-9.42800045013428,-8.19999986561015E-05,-0.00018600000476,0.001501000020653,-0.000893000003998,-0.000344000000041,0.001073000021279,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
2,-46.1279983520508,-1.4210000038147,-2.40100002288818,-0.199000000953674,0.400000005960465,-9.42099952697754,0.000537000014447,-0.001872000051662,0.000211000005947,0.000619000013103,-0.001686000046902,-0.001290000014706,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
3,-46.1259994506836,-1.4190000295639,-2.40199995040894,-0.247999995946884,0.416999995708466,-9.44200038909912,-0.000182000003406,-0.001324999961071,0.00121300003957,-0.000719000017853,0.000547000090592,0.001002000033623,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
4,-46.125,-1.41999995708466,-2.40100002288818,-0.217999994754791,0.39300000667572,-9.41899967193604,-0.000101999998151,-0.001111999968998,0.000368000008166,8.00000052549876E-05,0.000212999992073,-0.000845000031404,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
5,-46.1230010986328,-1.41799998283386,-2.40199995040894,-0.212999999523163,0.400000005960465,-9.4370002746582,-0.00040099999751,0.001188999973238,-0.001069999998435,-0.000298999999359,0.002300999942236,-0.001438000006601,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
6,-46.125,-1.41700005531311,-2.40100002288818,-0.252999991178513,0.382999986410141,-9.42800045013428,-0.000153999993927,-0.000926000007894,-0.000199000001885,0.000247000003583,-0.002114999981131,0.00087099999655,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
7,-46.1290016174316,-1.41799998283386,-2.40000009536743,-0.270999997854233,0.409999996423721,-9.44200038909912,-0.001277999952436,-0.000563999987207,0.000161999996635,-0.001123999958509,0.000362000020687,0.00036099999852,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
8,-46.125,-1.4190000295639,-2.40100002288818,-0.254000008106232,0.38400000333786,-9.40299987792969,-0.002297000028193,-0.002291999990121,-0.000914999982342,-0.001019000075758,-0.001728000002913,-0.001076999978977,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
9,-46.1230010986328,-1.4190000295639,-2.3989999294281,-0.210999995470047,0.377999991178513,-9.43900012969971,0.001008999999613,0.002071999944747,-0.000537000014447,0.003306000027806,0.004363999934867,0.000377999967895,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
10,-46.1230010986328,-1.41799998283386,-2.39800000190735,-0.275999993085861,0.397000014781952,-9.41199970245361,0.000734000001103,0.00092899997253,-0.000376000010874,-0.00027499999851,-0.001142999972217,0.000161000003573,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
11,-46.1220016479492,-1.41999995708466,-2.39800000190735,-0.211999997496605,0.370000004768372,-9.39599990844727,-0.001103000016883,-0.000616999983322,0.000140000003739,-0.001837000017986,-0.001545999955852,0.000516000014613,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
12,-46.1230010986328,-1.41799998283386,-2.39499998092651,-0.224000006914139,0.398000001907349,-9.41199970245361,-0.000346999993781,-0.000823999987915,-0.000873000011779,0.000756000023102,-0.000207000004593,-0.001013000015519,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
13,-46.1199989318848,-1.41799998283386,-2.39499998092651,-0.246999993920326,0.398000001907349,-9.41199970245361,0.000987999956124,0.000859000021592,0.000453999993624,0.001334999949904,0.001683000009507,0.001327000005404,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
14,-46.1220016479492,-1.4190000295639,-2.39499998092651,-0.222000002861023,0.409000009298325,-9.44999980926514,-0.000613000011072,-0.00062499998603,-0.000109000000521,-0.001600999967195,-0.001484000007622,-0.000562999994145,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
15,-46.1209983825684,-1.41799998283386,-2.39400005340576,-0.231000006198883,0.40200001001358,-9.42800045013428,-0.000953999988269,0.000681000004988,-0.000121999997646,-0.000340999977197,0.001305999991018,-1.29999971250072E-05,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
16,-46.1199989318848,-1.4190000295639,-2.39599990844727,-0.225999996066093,0.414000004529953,-9.44799995422363,0.000255999999354,-0.001378000015393,-0.000262999994447,0.001209999987623,-0.002059000020381,-0.000140999996802,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
17,-46.1209983825684,-1.41799998283386,-2.39599990844727,-0.208000004291534,0.389999985694885,-9.43900012969971,-0.000364000006812,-7.69999969634228E-05,0.000662999984343,-0.000620000006165,0.001301000018429,0.00092599997879,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
18,-46.1189994812012,-1.41799998283386,-2.39599990844727,-0.202000007033348,0.381000012159348,-9.42700004577637,0.001780000049621,0.00092299998505,0.000288000010187,0.002144000056433,0.000999999982014,-0.000374999974156,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
19,-46.1160011291504,-1.4190000295639,-2.39800000190735,-0.270000010728836,0.402999997138977,-9.40999984741211,-0.001228000037372,0.000218999994104,5.70000011066441E-05,-0.003008000086993,-0.000703999990947,-0.00023100000908,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
20,-46.1209983825684,-1.41799998283386,-2.3970000743866,-0.238000005483627,0.386999994516373,-9.41899967193604,-8.60000000102446E-05,0.000296000012895,-0.000265000009676,0.001142000037362,7.70000187912956E-05,-0.000322000010783,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
21,-46.1220016479492,-1.4190000295639,-2.3970000743866,-0.233999997377396,0.388999998569488,-9.41499996185303,-0.00037500000326,0.000230999998166,-0.000318000005791,-0.000289000003249,-6.50000147288665E-05,-5.29999961145222E-05,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
22,-46.1199989318848,-1.4190000295639,-2.3970000743866,-0.246999993920326,0.400999993085861,-9.40799999237061,-2.59999997069826E-05,-0.000737999973353,0.000745999976061,0.000349000003553,-0.000968999971519,0.001063999981852,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
23,-46.1209983825684,-1.4190000295639,-2.3970000743866,-0.217999994754791,0.416999995708466,-9.44499969482422,-0.000508000026457,0.00017499999376,-0.000360000005458,-0.00048200002675,0.000912999967113,-0.001105999981519,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
24,-46.1220016479492,-1.4190000295639,-2.39800000190735,-0.215000003576279,0.377999991178513,-9.41699981689453,-0.001674000057392,-0.000587999995332,0.000569999974687,-0.001166000030935,-0.000762999989092,0.000929999980144,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
25,-46.1269989013672,-1.4190000295639,-2.39800000190735,-0.197999998927116,0.395999997854233,-9.42099952697754,0.000467000005301,-0.000239000000875,0.000391999987187,0.002141000062693,0.000348999994458,-0.0001779999875,0.233999997377396,0,0.421200007200241,0,0,-9.79374980926514
