Yaw,Pitch,Roll,X Accel,Y Accel,Z Accel,X Rate,Y Rate,Z Rate,Magnetic X,Magnetic Y,Magnetic Z,Gravity X,Gravity Y,Gravity Z
-46.13199996948242,-1.4210000038146973,-2.3980000019073486,-0.2549999952316284,0.4050000011920929,-9.437999725341797,0.0008110000053420663,0.00015799999528098851,0.00042799999937415123,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.12900161743164,-1.4199999570846558,-2.3989999294281006,-0.2409999966621399,0.3959999978542328,-9.428000450134277,-8.199999865610152e-05,-0.00018600000475998968,0.0015010000206530094,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.12799835205078,-1.4210000038146973,-2.4010000228881836,-0.19900000095367432,0.4000000059604645,-9.420999526977539,0.0005370000144466758,-0.0018720000516623259,0.00021100000594742596,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.125999450683594,-1.4190000295639038,-2.4019999504089355,-0.24799999594688416,0.4169999957084656,-9.442000389099121,-0.00018200000340584666,-0.0013249999610707164,0.0012130000395700336,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.125,-1.4199999570846558,-2.4010000228881836,-0.21799999475479126,0.3930000066757202,-9.418999671936035,-0.00010199999815085903,-0.0011119999689981341,0.00036800000816583633,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.12300109863281,-1.4179999828338623,-2.4019999504089355,-0.21299999952316284,0.4000000059604645,-9.437000274658203,-0.00040099999750964344,0.0011889999732375145,-0.001069999998435378,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.125,-1.4170000553131104,-2.4010000228881836,-0.2529999911785126,0.382999986410141,-9.428000450134277,-0.0001539999939268455,-0.0009260000078938901,-0.0001990000018849969,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.12900161743164,-1.4179999828338623,-2.4000000953674316,-0.2709999978542328,0.4099999964237213,-9.442000389099121,-0.0012779999524354935,-0.0005639999872073531,0.00016199999663513154,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.125,-1.4190000295639038,-2.4010000228881836,-0.2540000081062317,0.3840000033378601,-9.402999877929688,-0.002297000028192997,-0.00229199999012053,-0.000914999982342124,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.12300109863281,-1.4190000295639038,-2.3989999294281006,-0.210999995470047,0.3779999911785126,-9.439000129699707,0.0010089999996125698,0.0020719999447464943,-0.0005370000144466758,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.12300109863281,-1.4179999828338623,-2.3980000019073486,-0.2759999930858612,0.3970000147819519,-9.411999702453613,0.0007340000011026859,0.0009289999725297093,-0.0003760000108741224,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
-46.12200164794922,-1.4199999570846558,-2.3980000019073486,-0.21199999749660492,0.3700000047683716,-9.395999908447266,-0.0011030000168830156,-0.0006169999833218753,0.00014000000373926014,0.23399999737739563,0.0,0.4212000072002411,0.0,0.0,-9.793749809265137
